Work Order,W/O Target Qty,SEQ,Process Name,Pass Qty,Fail Qty,ReTest Pass,ReTest Fail,Repass Qty,Refail Qty,FPY%,ReTest Rate%,Final Yield%,Group1,Group2,Group3,Group4,Customer,spec1
16026813,5760,19,3325_SSD Final VI,1,0,0,0,0,0,100 %,0 %,100 %,SSD,PCIe Gen 4x4,SM2P41C3,512GB,DELL COMPUTADORES DO BRASIL LTDA,H/AD SM2P41C3 512G SM2269XTFAB MI FG
16026830,8208,18,3250_SSD Final Test,1,0,0,0,0,0,100 %,0 %,100 %,SSD,PCIe Gen 4x4,SM2P41C3,512GB,DELL COMPUTADORES DO BRASIL LTDA,H/AD SM2P41C3 512G SM2269XTFAB MI FG
16026830,8208,19,3325_SSD Final VI,8,0,0,0,0,0,100 %,0 %,100 %,SSD,PCIe Gen 4x4,SM2P41C3,512GB,DELL COMPUTADORES DO BRASIL LTDA,H/AD SM2P41C3 512G SM2269XTFAB MI FG
16026831,8410,6,1170_Router,890,3,0,0,0,0,99.66 %,100 %,100 %,SSD,PCIe Gen 4x4,SM2P41C3,512GB,DELL COMPUTADORES DO BRASIL LTDA,H/AD SM2P41C3 512G SM2269XTFAB MI FG
16026831,8410,7,3210_SSD MST Initialization,894,2,44,6,28,0,99.78 %,-200 %,99.33 %,SSD,PCIe Gen 4x4,SM2P41C3,512GB,DELL COMPUTADORES DO BRASIL LTDA,H/AD SM2P41C3 512G SM2269XTFAB MI FG
16026831,8410,10,3230_SSD MP Initialization,4144,19,1,28,9,0,99.54 %,-47.37 %,99.33 %,SSD,PCIe Gen 4x4,SM2P41C3,512GB,DELL COMPUTADORES DO BRASIL LTDA,H/AD SM2P41C3 512G SM2269XTFAB MI FG
16026831,8410,12,3280_SSD PowerConsumption,4151,4,4,1,1,0,99.9 %,75 %,99.98 %,SSD,PCIe Gen 4x4,SM2P41C3,512GB,DELL COMPUTADORES DO BRASIL LTDA,H/AD SM2P41C3 512G SM2269XTFAB MI FG
16026831,8410,14,3270_SSD Speed Test,4127,4,7,0,1,0,99.9 %,100 %,100 %,SSD,PCIe Gen 4x4,SM2P41C3,512GB,DELL COMPUTADORES DO BRASIL LTDA,H/AD SM2P41C3 512G SM2269XTFAB MI FG
16026831,8410,16,3240_SSD Integration Test,4059,13,18,0,2,0,99.68 %,100 %,100 %,SSD,PCIe Gen 4x4,SM2P41C3,512GB,DELL COMPUTADORES DO BRASIL LTDA,H/AD SM2P41C3 512G SM2269XTFAB MI FG
16026831,8410,18,3250_SSD Final Test,4147,0,0,0,0,0,100 %,0 %,100 %,SSD,PCIe Gen 4x4,SM2P41C3,512GB,DELL COMPUTADORES DO BRASIL LTDA,H/AD SM2P41C3 512G SM2269XTFAB MI FG
16026831,8410,19,3325_SSD Final VI,4534,0,0,0,0,0,100 %,0 %,100 %,SSD,PCIe Gen 4x4,SM2P41C3,512GB,DELL COMPUTADORES DO BRASIL LTDA,H/AD SM2P41C3 512G SM2269XTFAB MI FG
16026832,4100,7,3210_SSD MST Initialization,0,0,89,6,38,0,0 %,0 %,0 %,SSD,PCIe Gen 4x4,SM2P41C8,512GB,ACBZ IMPORTACAO E COMERCIO LTDA,H/AD SM2P41C8 C SM2269XTFAB 512G MI B
16026832,4100,10,3230_SSD MP Initialization,5,21,252,41,28,18,19.23 %,-95.24 %,-57.69 %,SSD,PCIe Gen 4x4,SM2P41C8,512GB,ACBZ IMPORTACAO E COMERCIO LTDA,H/AD SM2P41C8 C SM2269XTFAB 512G MI B
16026832,4100,12,3270_SSD Speed Test,77,0,8,0,0,0,100 %,0 %,100 %,SSD,PCIe Gen 4x4,SM2P41C8,512GB,ACBZ IMPORTACAO E COMERCIO LTDA,H/AD SM2P41C8 C SM2269XTFAB 512G MI B
16026832,4100,14,3240_SSD Integration Test,74,4,87,0,0,1,94.87 %,100 %,100 %,SSD,PCIe Gen 4x4,SM2P41C8,512GB,ACBZ IMPORTACAO E COMERCIO LTDA,H/AD SM2P41C8 C SM2269XTFAB 512G MI B
16026832,4100,16,3250_SSD Final Test,72,0,0,0,0,0,100 %,0 %,100 %,SSD,PCIe Gen 4x4,SM2P41C8,512GB,ACBZ IMPORTACAO E COMERCIO LTDA,H/AD SM2P41C8 C SM2269XTFAB 512G MI B
16026832,4100,18,3325_SSD Final VI,46,0,0,0,77,0,100 %,0 %,100 %,SSD,PCIe Gen 4x4,SM2P41C8,512GB,ACBZ IMPORTACAO E COMERCIO LTDA,H/AD SM2P41C8 C SM2269XTFAB 512G MI B
16026833,4320,4,1132_SMT03_F,4318,2,0,0,2,0,99.95 %,100 %,100 %,SSD,PCIe Gen 4x4,SM2P41C8,512GB,ACBZ IMPORTACAO E COMERCIO LTDA,H/AD SM2P41C8 C SM2269XTFAB 512G MI B
16026833,4320,6,1170_Router,2040,0,0,0,0,0,100 %,0 %,100 %,SSD,PCIe Gen 4x4,SM2P41C8,512GB,ACBZ IMPORTACAO E COMERCIO LTDA,H/AD SM2P41C8 C SM2269XTFAB 512G MI B
16026833,4320,7,3210_SSD MST Initialization,950,115,0,1,44,19,89.2 %,99.13 %,99.91 %,SSD,PCIe Gen 4x4,SM2P41C8,512GB,ACBZ IMPORTACAO E COMERCIO LTDA,H/AD SM2P41C8 C SM2269XTFAB 512G MI B
16026862,260,4,1132_SMT03_F,260,0,0,0,0,0,100 %,0 %,100 %,SSD,PCIe Gen 4x4,SM2P41C8,512GB,HP BRASIL INDUSTRIA E COMERCIO DE,H/AD SM2P41C8 C E11 SM2269XTFAB 512G MI
16026862,260,7,1170_Router,260,0,0,0,0,0,100 %,0 %,100 %,SSD,PCIe Gen 4x4,SM2P41C8,512GB,HP BRASIL INDUSTRIA E COMERCIO DE,H/AD SM2P41C8 C E11 SM2269XTFAB 512G MI
16026862,260,8,3210_SSD MST Initialization,259,0,0,0,0,0,100 %,0 %,100 %,SSD,PCIe Gen 4x4,SM2P41C8,512GB,HP BRASIL INDUSTRIA E COMERCIO DE,H/AD SM2P41C8 C E11 SM2269XTFAB 512G MI
16026864,7524,11,2310_Module SLT(1),10,0,85,27,0,0,100 %,0 %,-170 %,MODULE,DDR4,SO-DIMM,8GB,DELL COMPUTADORES DO BRASIL LTDA,H/DE DDR4 3200 (22) SO 8G X4 B
16026864,7524,12,2345_Module VI,14,0,0,0,0,0,100 %,0 %,100 %,MODULE,DDR4,SO-DIMM,8GB,DELL COMPUTADORES DO BRASIL LTDA,H/DE DDR4 3200 (22) SO 8G X4 B
16026865,4968,4,1132_SMT03_F,4968,0,0,0,0,0,100 %,0 %,100 %,MODULE,DDR5,SO-DIMM,16GB,LENOVO TECHNOLOGIA BRASIL LIMITADA,H/LE DDR5 5600 (46) SO 16G X8 B P8911-Y0
16026865,4968,6,1170_Router,2892,0,0,0,0,0,100 %,0 %,100 %,MODULE,DDR5,SO-DIMM,16GB,LENOVO TECHNOLOGIA BRASIL LIMITADA,H/LE DDR5 5600 (46) SO 16G X8 B P8911-Y0
16026865,4968,7,1150_SPD,2449,0,0,0,0,0,100 %,0 %,100 %,MODULE,DDR5,SO-DIMM,16GB,LENOVO TECHNOLOGIA BRASIL LIMITADA,H/LE DDR5 5600 (46) SO 16G X8 B P8911-Y0
16026865,4968,8,2310_Module SLT(1),1811,63,57,9,0,0,96.64 %,85.71 %,99.52 %,MODULE,DDR5,SO-DIMM,16GB,LENOVO TECHNOLOGIA BRASIL LIMITADA,H/LE DDR5 5600 (46) SO 16G X8 B P8911-Y0
16026865,4968,10,2345_Module VI,1850,0,0,0,0,0,100 %,0 %,100 %,MODULE,DDR5,SO-DIMM,16GB,LENOVO TECHNOLOGIA BRASIL LIMITADA,H/LE DDR5 5600 (46) SO 16G X8 B P8911-Y0
16026866,2034,6,1170_Router,561,0,0,0,0,0,100 %,0 %,100 %,MODULE,DDR5,SO-DIMM,8GB,COMPALEAD ELETRONICA DO BRASIL,H/AG DDR5 5600 (46) SO 8G X4 B
16026866,2034,7,1150_SPD,309,0,0,0,3,0,100 %,0 %,100 %,MODULE,DDR5,SO-DIMM,8GB,COMPALEAD ELETRONICA DO BRASIL,H/AG DDR5 5600 (46) SO 8G X4 B
16026866,2034,8,2310_Module SLT(1),304,5,0,4,3,0,98.38 %,20 %,98.71 %,MODULE,DDR5,SO-DIMM,8GB,COMPALEAD ELETRONICA DO BRASIL,H/AG DDR5 5600 (46) SO 8G X4 B
16026866,2034,10,2345_Module VI,250,0,0,0,0,0,100 %,0 %,100 %,MODULE,DDR5,SO-DIMM,8GB,COMPALEAD ELETRONICA DO BRASIL,H/AG DDR5 5600 (46) SO 8G X4 B
16026875,5520,3,1132_SMT03_F,3090,0,0,0,0,0,100 %,0 %,100 %,SSD,PCIe Gen 4x4,SM2P41C3,512GB,DELL COMPUTADORES DO BRASIL LTDA,H/AD SM2P41C3 512G SM2269XTFAB MI FG
16026935,1010,8,3210_SSD MST Initialization,412,1,0,1,0,0,99.76 %,0 %,99.76 %,SSD,PCIe Gen 3x4,IM2P33F8A,256GB,AGP TECNOLOGIA EM INFORMATICA,H/AD IM2P33F8A D 256G MI B
16026935,1010,11,3230_SSD MP Initialization,974,19,0,19,0,0,98.09 %,0 %,98.09 %,SSD,PCIe Gen 3x4,IM2P33F8A,256GB,AGP TECNOLOGIA EM INFORMATICA,H/AD IM2P33F8A D 256G MI B
16026935,1010,13,3240_SSD Integration Test,868,93,93,0,0,0,90.32 %,100 %,100 %,SSD,PCIe Gen 3x4,IM2P33F8A,256GB,AGP TECNOLOGIA EM INFORMATICA,H/AD IM2P33F8A D 256G MI B
16026935,1010,15,3250_SSD Final Test,777,0,0,0,0,0,100 %,0 %,100 %,SSD,PCIe Gen 3x4,IM2P33F8A,256GB,AGP TECNOLOGIA EM INFORMATICA,H/AD IM2P33F8A D 256G MI B
16026935,1010,17,3325_SSD Final VI,600,0,0,0,0,0,100 %,0 %,100 %,SSD,PCIe Gen 3x4,IM2P33F8A,256GB,AGP TECNOLOGIA EM INFORMATICA,H/AD IM2P33F8A D 256G MI B
16026937,4032,11,2310_Module SLT(1),2562,35,40,11,0,0,98.65 %,68.57 %,99.58 %,MODULE,DDR4,SO-DIMM,8GB,DELL COMPUTADORES DO BRASIL LTDA,H/DE DDR4 3200 (22) SO 8G X4 B
16026937,4032,12,2345_Module VI,2765,0,0,0,0,0,100 %,0 %,100 %,MODULE,DDR4,SO-DIMM,8GB,DELL COMPUTADORES DO BRASIL LTDA,H/DE DDR4 3200 (22) SO 8G X4 B
16026938,522,7,1132_SMT03_F,18,0,0,0,0,0,100 %,0 %,100 %,MODULE,DDR4,SO-DIMM,8GB,"ADATA TECHNOLOGY (HK) CO., LTD.",H/AD DDR4 3200 (22) S 8G X4 B
16026938,522,9,1170_Router,520,2,0,0,0,0,99.62 %,100 %,100 %,MODULE,DDR4,SO-DIMM,8GB,"ADATA TECHNOLOGY (HK) CO., LTD.",H/AD DDR4 3200 (22) S 8G X4 B
16026938,522,10,1150_SPD,520,0,0,0,0,0,100 %,0 %,100 %,MODULE,DDR4,SO-DIMM,8GB,"ADATA TECHNOLOGY (HK) CO., LTD.",H/AD DDR4 3200 (22) S 8G X4 B
16026938,522,11,2310_Module SLT(1),518,2,2,0,0,0,99.62 %,100 %,100 %,MODULE,DDR4,SO-DIMM,8GB,"ADATA TECHNOLOGY (HK) CO., LTD.",H/AD DDR4 3200 (22) S 8G X4 B
16026938,522,13,2345_Module VI,520,0,0,0,0,0,100 %,0 %,100 %,MODULE,DDR4,SO-DIMM,8GB,"ADATA TECHNOLOGY (HK) CO., LTD.",H/AD DDR4 3200 (22) S 8G X4 B
16026939,352,4,1132_SMT03_F,312,0,0,0,0,0,100 %,0 %,100 %,MODULE,DDR4,U-DIMM,8GB,"ADATA TECHNOLOGY (HK) CO., LTD.",H/AD DDR4 3200 (22) U 8G X4 B
16026939,352,6,1170_Router,352,0,0,0,0,0,100 %,0 %,100 %,MODULE,DDR4,U-DIMM,8GB,"ADATA TECHNOLOGY (HK) CO., LTD.",H/AD DDR4 3200 (22) U 8G X4 B
16026939,352,7,1150_SPD,352,0,0,0,2,0,100 %,0 %,100 %,MODULE,DDR4,U-DIMM,8GB,"ADATA TECHNOLOGY (HK) CO., LTD.",H/AD DDR4 3200 (22) U 8G X4 B
16026939,352,8,2310_Module SLT(1),349,3,1,2,2,0,99.15 %,33.33 %,99.43 %,MODULE,DDR4,U-DIMM,8GB,"ADATA TECHNOLOGY (HK) CO., LTD.",H/AD DDR4 3200 (22) U 8G X4 B
16026939,352,10,2345_Module VI,352,0,0,0,0,0,100 %,0 %,100 %,MODULE,DDR4,U-DIMM,8GB,"ADATA TECHNOLOGY (HK) CO., LTD.",H/AD DDR4 3200 (22) U 8G X4 B
16026941,6936,4,1131_SMT03_B,2016,0,0,0,0,0,100 %,0 %,100 %,MODULE,DDR4,SO-DIMM,8GB,DELL COMPUTADORES DO BRASIL LTDA,H/DE DDR4 3200 (22) SO 8G X4 B
16026941,6936,7,1132_SMT03_F,1476,0,0,0,0,0,100 %,0 %,100 %,MODULE,DDR4,SO-DIMM,8GB,DELL COMPUTADORES DO BRASIL LTDA,H/DE DDR4 3200 (22) SO 8G X4 B
16026941,6936,9,1150_SPD,696,0,0,0,0,0,100 %,0 %,100 %,MODULE,DDR4,SO-DIMM,8GB,DELL COMPUTADORES DO BRASIL LTDA,H/DE DDR4 3200 (22) SO 8G X4 B
16026941,6936,9,1170_Router,696,0,0,0,0,0,100 %,0 %,100 %,MODULE,DDR4,SO-DIMM,8GB,DELL COMPUTADORES DO BRASIL LTDA,H/DE DDR4 3200 (22) SO 8G X4 B
16026941,6936,11,2310_Module SLT(1),194,0,0,0,0,0,100 %,0 %,100 %,MODULE,DDR4,SO-DIMM,8GB,DELL COMPUTADORES DO BRASIL LTDA,H/DE DDR4 3200 (22) SO 8G X4 B
16026941,6936,12,2345_Module VI,100,0,0,0,0,0,100 %,0 %,100 %,MODULE,DDR4,SO-DIMM,8GB,DELL COMPUTADORES DO BRASIL LTDA,H/DE DDR4 3200 (22) SO 8G X4 B
16026945,632,4,1132_SMT03_F,632,0,0,0,0,0,100 %,0 %,100 %,MODULE,DDR5,U-DIMM,8GB,FLEXTRONICS INTERNATIONAL,H/HP DDR5 5600 (46) U 8G X4 B
36005898,2,1,1150_SPD,2,0,0,0,0,0,100 %,0 %,100 %,MODULE,DDR4,U-DIMM,8GB,"ADATA TECHNOLOGY (HK) CO., LTD.",H/AD DDR4 3200 (22) U 8G X8 B
36005898,2,3,2310_Module SLT(1),2,0,0,0,0,0,100 %,0 %,100 %,MODULE,DDR4,U-DIMM,8GB,"ADATA TECHNOLOGY (HK) CO., LTD.",H/AD DDR4 3200 (22) U 8G X8 B
36005898,2,5,2345_Module VI,2,0,0,0,0,0,100 %,0 %,100 %,MODULE,DDR4,U-DIMM,8GB,"ADATA TECHNOLOGY (HK) CO., LTD.",H/AD DDR4 3200 (22) U 8G X8 B
36005900,13,1,1150_SPD,13,0,0,0,0,0,100 %,0 %,100 %,MODULE,DDR4,SO-DIMM,4GB,COMPALEAD ELETRONICA DO BRASIL,H/AD DDR4 3200 (22) S 4G X4 B
36005900,13,3,2310_Module SLT(1),13,0,0,0,0,0,100 %,0 %,100 %,MODULE,DDR4,SO-DIMM,4GB,COMPALEAD ELETRONICA DO BRASIL,H/AD DDR4 3200 (22) S 4G X4 B
36005902,2,1,1150_SPD,2,0,0,0,0,0,100 %,0 %,100 %,MODULE,DDR4,SO-DIMM,16GB,COMPALEAD ELETRONICA DO BRASIL,H/AD DDR4 3200 (22) S 16G X16 B
36005902,2,3,2310_Module SLT(1),2,0,0,0,0,0,100 %,0 %,100 %,MODULE,DDR4,SO-DIMM,16GB,COMPALEAD ELETRONICA DO BRASIL,H/AD DDR4 3200 (22) S 16G X16 B
36005903,1,3,2310_Module SLT(1),1,0,0,0,0,0,100 %,0 %,100 %,MODULE,DDR4,SO-DIMM,16GB,FLEXTRONICS INTERNATIONAL,H/HP DDR4 3200 (22) SO 16G X8 B NHS STA
